id,site_id,site_name,description,tr_description,de_description,en_description
1,1,Hisarlik (Troy),"The archaeological site of Hisarlik, commonly identified with Troy, lies on a shallow spur that is overlooking the floodplain of the Karamenderes River. The site was excavated during three major campaigns, under the direction of Heinrich Schliemann and Wilhelm Dorpfeld (1870-94), Carl Blegen (1932-38) and Manfred Korfmann and Charles Brian Rose (1988-2012). The most comprehensive and up to date overview of the habitation history of Troy - even for the Bronze Age - is provided by Charles Brian Rose (2014). The information below rests on this account. The first habitation in the area occurred at Kumtepe (c. 5000 BCE), five kilometers northwest of Troy, as well as at Besik-Sivritepe, Gulpinar, Hanaytepe, Alcaligol and Isildaktepe alti. At that time, the coastal embayment still stretched almost to the foot of Hisarlik knoll. ""Then, boats were sailing across the Dardanelles and into the Aegean"", writes Brian Rose. From 4500 to 3300 BCE the habitation was interrupted. By 3300 BCE, new occupation began at Kumtepe and Karaagactepe, among others. Towards the end of the 4 th mill. BCE, the first settlement arose on Hisarlik, apparently absorbing the inhabitants from the other sites in the area. By the time of Troy II (2550-2300 BCE), the place had developed into a major commercial center and was tied into a trade network that extended from the Aegean to central Asia (Rose 2014, 11). A number of hord finds spanning a period of 400-500 years were retrieved from Troy IIA, most prominent among them is the so-called ""Priam's Treasure"". Our knowledge of the subsequent Troy III-V is rather limited, largely because Schliemann removed so much of the relevant material. The place eventually reached its peak as Troy VI (1750-1300 BCE) and Troy VIIa (1300-1180 BCE) with a fortification wall protecting an area of 20'000m2 (2 hectares). Engravings that were produced during Schliemann's digging show to what extend the tell had been truncated, partly by levelling in Classical times but also due to excavations. A profile across the site reveals that the current surface is about five meters below that of the Late Bronze Age. Hence, little of relevance can be expected to be found inside the citadel walls. Therefore, the campaign led by Manfred Korfmann spent almost twenty years investigating the region outside the fortification walls, but still on the Hisarlik knoll in search for a lower town. They did find walls of a few houses that were attached to the western outer side of the citadel, alas not more than that. On the other hand, drill holes that were produced in the floodplain revealed archaeological material consisting mostly of sherds and fire remains at 4-6 m below the present surface (Kayan 2003, 391; fig. 4). This caused the geoarchaeologist in charge of investigating the floodplain stratigraphy to conclude: ""From an archaeological point of view, the area along the foot of the northern slope of Troia is an important one... In the light of these findings we consider that it would be very useful to make an archaeological excavation about 7 m deep"" (Kayan 1996, 248). - The most promising area for new discoveries that may shed more light on the size, significance and function of Late Bronze Age Troy lies therefor not on the Hisarlik knoll, but in the floodplain, 5-7 meter below the present surface.","Genellikle Troya ile ozdeslestirilen Hisarlik arkeolojik alani, Karamenderes Nehri'nin taskin yatagina bakan sig bir mahmuz uzerinde yer almaktadir. Alan, Heinrich Schliemann ve Wilhelm Dorpfeld (1870-94), Carl Blegen (1932-38) ve Manfred Korfmann ve Charles Brian Rose (1988-2012) yonetiminde uc buyuk kampanya sirasinda kazilmistir. Troya'nin yerlesim tarihine iliskin en kapsamli ve guncel genel bakis - Tunc Cagi icin bile - Charles Brian Rose (2014) tarafindan saglanmistir. Asagidaki bilgiler bu hesaba dayanmaktadir. Bolgedeki ilk yerlesim Troya'nin bes kilometre kuzeybatisindaki Kumtepe'de (MO 5000 civari) ve Besik-Sivritepe, Gulpinar, Hanaytepe, Alcaligol ve Isildaktepe alti'nda gerceklesmistir. O zamanlar kiyi cukuru hala neredeyse Hisarlik tepesinin eteklerine kadar uzaniyordu. Brian Rose, ""O zamanlar tekneler Canakkale Bogazi'ni gecip Ege'ye aciliyordu"" diye yaziyor. MO 4500'den 3300'e kadar yerlesim kesintiye ugramistir. MO 3300'lere gelindiginde, Kumtepe ve Karaagactepe'de yeni yerlesimler baslamistir. 4'nin sonuna dogru th mil. Hisarlik'ta ilk yerlesim M.O. ortaya cikmis ve gorunuse gore bolgedeki diger yerlesimlerden gelen sakinleri bunyesine katmistir. Troya II zamaninda (MO 2550-2300) burasi buyuk bir ticaret merkezi haline gelmis ve Ege'den Orta Asya'ya kadar uzanan bir ticaret agina baglanmistir (Rose 2014, 11). Troya IIA'dan 400-500 yillik bir doneme yayilan cok sayida buluntu cikarilmistir ve bunlarin arasinda en onemlisi ""Priam'in Hazinesi"" olarak adlandirilan buluntudur. Sonraki Troya III-V hakkindaki bilgilerimiz, buyuk olcude Schliemann'in ilgili malzemenin cogunu ortadan kaldirmasi nedeniyle oldukca sinirlidir. Burasi nihayetinde Troya VI (MO 1750-1300) ve Troya VIIa (MO 1300-1180) olarak 20'000m2 (2 hektar) alani koruyan bir sur duvariyla zirveye ulasmistir. Schliemann'in kazilari sirasinda ortaya cikan gravurler, kismen Klasik donemdeki tesviyeler, kismen de kazilar nedeniyle anlatinin ne olcude kesildigini gostermektedir. Alan boyunca yapilan bir profil, mevcut yuzeyin Gec Tunc Cagi yuzeyinin yaklasik bes metre altinda oldugunu ortaya koymaktadir. Bu nedenle, kale duvarlarinin icinde konuyla ilgili cok az sey bulunmasi beklenebilir. Bu nedenle, Manfred Korfmann'in onderligindeki kampanya neredeyse yirmi yil boyunca surlarin disinda, ancak yine de Hisarlik tepesinde daha asagi bir kasaba arayisiyla bolgeyi arastirdi. Kalenin bati dis tarafina bitisik birkac evin duvarlarini buldular, ne yazik ki bundan daha fazlasini degil. Ote yandan, taskin yataginda acilan sondaj delikleri, mevcut yuzeyin 4-6 m altinda cogunlukla canak comlek parcalari ve ates kalintilarindan olusan arkeolojik malzeme ortaya cikarmistir (Kayan 2003, 391; sek. 4). Bu durum, taskin yatagi stratigrafisinin arastirilmasindan sorumlu jeoarkeologun su sonuca varmasina neden olmustur: ""Arkeolojik acidan, Troia'nin kuzey yamacinin etekleri boyunca uzanan alan onemli bir alandir... Bu bulgular isiginda, yaklasik 7 m derinliginde bir arkeolojik kazi yapilmasinin cok yararli olacagini dusunuyoruz"" (Kayan 1996, 248). - Gec Tunc Cagi Troia'sinin buyuklugune, onemine ve islevine daha fazla isik tutabilecek yeni kesifler icin en umut verici alan Hisarlik tepesinde degil, mevcut yuzeyin 5-7 metre altindaki taskin yataginda yatmaktadir.","Die archaologische Statte von Hisarlik, die gemeinhin mit Troja identifiziert wird, liegt auf einem flachen Auslaufer, der das Uberschwemmungsgebiet des Karamenderes-Flusses uberragt. Die Statte wurde in drei groﬂen Kampagnen ausgegraben, unter der Leitung von Heinrich Schliemann und Wilhelm Dorpfeld (1870-94), Carl Blegen (1932-38) und Manfred Korfmann und Charles Brian Rose (1988-2012). Den umfassendsten und aktuellsten Uberblick uber die Besiedlungsgeschichte Trojas - auch fur die Bronzezeit - bietet Charles Brian Rose (2014). Die folgenden Informationen beruhen auf dieser Darstellung. Die erste Besiedlung der Region erfolgte in Kumtepe (ca. 5000 v. Chr.), funf Kilometer nordwestlich von Troja, sowie in Besik-Sivritepe, Gulpinar, Hanaytepe, Alcaligol und Isildaktepe alti. Zu dieser Zeit reichte die Kustenbucht noch fast bis zum Fuﬂ der Hisarlik-Kuppe. ""Damals segelten Boote uber die Dardanellen und in die Agais"", schreibt Brian Rose. Von 4500 bis 3300 v. Chr. war die Besiedlung unterbrochen. Um 3300 v. Chr. begann eine neue Besiedlung, unter anderem in Kumtepe und Karaagactepe. Gegen Ende des 4 th Jahrtausends. Jh. v. Chr. entstand die erste Siedlung auf Hisarlik, die offenbar die Bewohner der anderen Statten in der Gegend aufnahm. Zur Zeit von Troja II (2550-2300 v. Chr.) hatte sich der Ort zu einem bedeutenden Handelszentrum entwickelt und war in ein Handelsnetz eingebunden, das von der Agais bis nach Zentralasien reichte (Rose 2014, 11). Aus Troja IIA wurde eine Reihe von Hordenfunden aus einem Zeitraum von 400-500 Jahren geborgen, darunter vor allem der sogenannte ""Schatz des Priamos"". Unser Wissen uber das spatere Troja III-V ist eher begrenzt, was vor allem daran liegt, dass Schliemann so viel von dem relevanten Material entfernt hat. Der Ort erreichte schlieﬂlich seinen Hohepunkt als Troja VI (1750-1300 v. Chr.) und Troja VIIa (1300-1180 v. Chr.) mit einer Festungsmauer, die ein Gebiet von 20'000 m2 (2 Hektar) schutzte. Gravuren, die wahrend Schliemanns Ausgrabungen entstanden sind, zeigen, in welchem Ausmaﬂ der Tell abgeschnitten wurde, zum Teil durch Nivellierung in klassischer Zeit, aber auch durch Ausgrabungen. Ein Profil des Gelandes zeigt, dass die heutige Oberflache etwa funf Meter unter derjenigen der spaten Bronzezeit liegt. Es ist daher zu erwarten, dass innerhalb der Zitadellenmauern nur wenig Relevantes zu finden sein wird. Daher verbrachte die von Manfred Korfmann geleitete Kampagne fast zwanzig Jahre damit, die Region auﬂerhalb der Festungsmauern, aber immer noch auf der Hisarlik-Kuppe, auf der Suche nach einer Unterstadt zu untersuchen. Sie fanden zwar Mauern einiger Hauser, die an die westliche Auﬂenseite der Zitadelle angebaut waren, aber leider nicht mehr als das. Andererseits brachten Bohrungen, die in der Aue durchgefuhrt wurden, archaologisches Material zum Vorschein, das hauptsachlich aus Scherben und Feuerresten in 4-6 m Tiefe unter der heutigen Oberflache bestand (Kayan 2003, 391; Abb. 4). Dies veranlasste den Geoarchaologen, der mit der Untersuchung der Auenstratigraphie beauftragt war, zu der Schlussfolgerung: ""Aus archaologischer Sicht ist das Gebiet am Fuﬂe des Nordhangs von Troia von groﬂer Bedeutung... Angesichts dieser Funde halten wir es fur sehr sinnvoll, eine archaologische Ausgrabung in etwa 7 m Tiefe durchzufuhren"" (Kayan 1996, 248). - Das vielversprechendste Gebiet fur neue Entdeckungen, die mehr Licht auf die Groﬂe, Bedeutung und Funktion des spatbronzezeitlichen Troia werfen konnten, liegt daher nicht auf der Hisarlik-Kuppe, sondern in der Aue, 5-7 Meter unter der heutigen Oberflache.",
2,2,Beykoy,"The tell settlement, also known as Yumruktepe, is located about 2.6 km south of the village of Beykoy in the district of Ihsaniye and the province of Afyon.","Yumruktepe olarak da bilinen hoyuk yerlesimi, Ihsaniye ilcesi ve Afyon iline bagli Beykoy koyunun yaklasik 2,6 km guneyinde yer almaktadir.","Die Tellsiedlung, auch bekannt als Yumruktepe, liegt etwa 2,6 km sudlich des Dorfes Beykoy im Bezirk Ihsaniye und der Provinz Afyon.",
3,3,Karabel,,,,
4,4,Torbali-Karakuyu,Many Roman and Phrygian settlement traces were found around the settlement.,Yerlesim cevresinde cok sayida Roma ve Frig yerlesim izine rastlanmistir.,Rund um die Siedlung wurden zahlreiche romische und phrygische Siedlungsspuren gefunden.,
5,5,Akpinar,,,,
6,6,"Latmos 1, 2, 5",,,,
7,7,Kocaoguz-Afyon,,,,
8,8,Panaztepe,"Bayrakli is the predecessor of Smyrna which in turn was the predecessor of modern Izmir. Hence, the site is located at the end of the Gulf of Izmir in the center of the city. The first excavations go back to 1948-51 and were carried out jointly by John Cook, James Brock and Ekrem Akurgal. From 1966-92 Ekrem Akurgal conducted excavations in which he focused on the Geometric and later occupation. The third excavation campaign under the direction of Meral Akurgal lasted 1993-2014. Already the earliest excavations indicated that the settlement history reaches back until the Early Bronze Age. Ekrem Akurgal found three distinct prehistoric strata. The first one lasted from the first half of the 3 rd mill. BCE until about 2000 BCE. Much pottery was found from the 2 nd mill. BCE, predominantly Red and Gray Ware. The vessel types are similar to the other Anatolian shape, in particular those known from Larisa (Hermos). According to E. Akurgal, the first Aeolian Greek settlement dates back to 1050-1000 BCE. No Mycenaean pottery was found.","Bayrakli, Smyrna'nin onculudur ve Smyrna da modern Izmir'in onculudur. Bu nedenle kentin merkezinde, Izmir Korfezi'nin sonunda yer almaktadir. Ilk kazilar 1948-51 yillari arasinda John Cook, James Brock ve Ekrem Akurgal tarafindan ortaklasa yurutulmustur. Ekrem Akurgal, 1966-92 yillari arasinda Geometrik ve daha sonraki donemlere odaklandigi kazilar yurutmustur. Meral Akurgal baskanligindaki ucuncu kazi kampanyasi 1993-2014 yillari arasinda surmustur. Daha ilk kazilar, yerlesim tarihinin Erken Tunc Cagi'na kadar uzandigini gostermistir. Ekrem Akurgal uc farkli tarih oncesi tabaka bulmustur. Ilki 3 doneminin ilk yarisindan itibaren surmustur. rd degirmen. M.O. yaklasik M.O. 2000 yilina kadar. 2'den cok sayida canak comlek bulunmustur. nd mil. MO, agirlikli olarak Kirmizi ve Gri Ware. Kap tipleri diger Anadolu formlarina, ozellikle de Larisa'dan (Hermos) bilinenlere benzer. E. Akurgal'a gore ilk Aiol Yunan yerlesimi M.O. 1050-1000 yillari arasina tarihlenmektedir. Miken canak comlegine rastlanmamistir.","Bayrakli ist der Vorganger von Smyrna, das wiederum der Vorganger des modernen Izmir war. Daher befindet sich die Statte am Ende des Golfs von Izmir im Zentrum der Stadt. Die ersten Ausgrabungen gehen auf die Jahre 1948-51 zuruck und wurden gemeinsam von John Cook, James Brock und Ekrem Akurgal durchgefuhrt. Von 1966-92 fuhrte Ekrem Akurgal Ausgrabungen durch, bei denen er sich auf die geometrische und spatere Besetzung konzentrierte. Die dritte Ausgrabungskampagne unter der Leitung von Meral Akurgal dauerte von 1993-2014. Schon die fruhesten Ausgrabungen deuteten darauf hin, dass die Siedlungsgeschichte bis in die fruhe Bronzezeit zuruckreicht. Ekrem Akurgal fand drei verschiedene prahistorische Schichten. Die erste reichte von der ersten Halfte des 3 rd Jahrtausends. BCE bis etwa 2000 BCE. Es wurde viel Keramik aus dem 2 nd_ mill. BCE gefunden, vorwiegend Rote und Graue Ware. Die Gefaﬂtypen ahneln den anderen anatolischen Formen, insbesondere denen, die aus Larisa (Hermos) bekannt sind. Laut E. Akurgal geht die erste aolische griechische Siedlung auf 1050-1000 v. Chr. zuruck. Es wurde keine mykenische Topferware gefunden.",
9,9,Sardis,"At Sardes, the earliest finds are derived from the ""House of Bronzes"", south of the gymnasium. In this area, habitation continued from the Late Bronze Age to the Byzantine period. Some pottery dates back prior to 1400 BCE. These earliest ceramic is indigenous, monochrome and similar to other sites in Western Asia Minor. The second layer (1400- 1200 BCE) contained the remains of a circular wattle wall, a mud hut, a pithos for cremation, published by Andrew Ramage and Jeffrey Spier. Imported Mycenaean sherds and craters, dating to the 13 th -11 th cent. BCE, were also found in this level. Nevertheless, the vast majority of the material in Sardis is strictly of indigenous Anatolian origin. About 2-5% of the pottery is Mycenaean.","Sardes'te en erken buluntular gymnasiumun guneyindeki ""Bronz Evi ""nden elde edilmistir. Bu alanda yerlesim Gec Tunc Cagi'ndan Bizans donemine kadar devam etmistir. Bazi canak comlekler M.O. 1400'den oncesine tarihlenmektedir. Bu en erken seramikler yerel, tek renkli ve Kucuk Asya'nin batisindaki diger yerlesimlerle benzerlik gostermektedir. Ikinci tabaka (MO 1400- 1200), Andrew Ramage ve Jeffrey Spier tarafindan yayinlanan dairesel bir saz duvar, camurdan bir kulube, olu yakma icin bir kup kalintilarini icermektedir. 13 donemine tarihlenen ithal Miken canak comlek parcalari ve kraterler th -11 th yuzyila tarihlenmektedir. M.O. bu tabakada da bulunmustur. Bununla birlikte, Sardeis'teki malzemenin buyuk cogunlugu kesinlikle yerli Anadolu kokenlidir. Canak comleklerin yaklasik %2-5'i Miken kokenlidir.","In Sardes stammen die fruhesten Funde aus dem ""Haus der Bronzen"", sudlich der Turnhalle. In diesem Gebiet wurde von der spaten Bronzezeit bis in die byzantinische Periode hinein gewohnt. Einige Topferwaren stammen aus der Zeit vor 1400 v. Chr.. Diese fruheste Keramik ist einheimisch, einfarbig und ahnelt anderen Fundorten im westlichen Kleinasien. Die zweite Schicht (1400-1200 v. Chr.) enthielt die Uberreste einer kreisformigen Flechtwand, einer Lehmhutte, eines Pithos fur die Feuerbestattung, veroffentlicht von Andrew Ramage und Jeffrey Spier. Importierte mykenische Scherben und Krater, die auf das 13 th -11 th Jahrhundert. BCE, wurden ebenfalls in dieser Ebene gefunden. Dennoch ist die uberwiegende Mehrheit des Materials in Sardes ausschlieﬂlich einheimischen anatolischen Ursprungs. Etwa 2-5% der Keramik ist mykenisch.",
10,10,Musgebi-Bodrum ,"The site of Musgebi-Ortakent is located 9 km northwest of Bodrum. In the 1960s a number of Mycenaean chamber tombs were found in this region. The graves were excavated under the direction of Yusuf Boysal in 1963-66. The burial type was cremation. Vessel types include cylix, pyxis, amphora, pithoi, jugs, bowls, cups, alabastroi and tripod vessels among others. According to Yusuf Boysal the necropolis began to be used during the 15th century BCE. The pottery dates from Late Helladic III A to Late Helladic IIIC.","Musgebi-Ortakent yerlesimi Bodrum'un 9 km kuzeybatisinda yer almaktadir. 1960'li yillarda bu bolgede bir dizi Miken oda mezari bulunmustur. Mezarlar 1963-66 yillarinda Yusuf Boysal baskanliginda kazilmistir. Gomu tipi kremasyondur. Kap tipleri arasinda kylix, pyxis, amphora, pithos, testi, kase, fincan, alabastroi ve tripod kaplar bulunmaktadir. Yusuf Boysal'a gore nekropol MO 15. yuzyilda kullanilmaya baslanmistir. Canak comlek Gec Helladik III A'dan Gec Helladik IIIC'ye kadar tarihlenmektedir.","Die Ausgrabungsstatte von Musgebi-Ortakent liegt 9 km nordwestlich von Bodrum. In den 1960er Jahren wurde in dieser Region eine Reihe mykenischer Kammergraber gefunden. Die Graber wurden unter der Leitung von Yusuf Boysal in den Jahren 1963-66 ausgegraben. Die Bestattungsart war Brandbestattung. Zu den Gefaﬂtypen gehoren unter anderem Zylix, Pyxis, Amphore, Pithoi, Kruge, Schalen, Becher, Alabastroi und Dreibeingefaﬂe. Laut Yusuf Boysal wurde die Nekropole ab dem 15. Jahrhundert v. Chr. genutzt. Die Topferwaren stammen aus der Zeit von Spathelladisch III A bis Spathelladisch IIIC.",
